codi_eoi,nom_estacio,data,magnitud,contaminant,unitats,tipus_estacio,area_urbana,codi_ine,municipi,codi_comarca,nom_comarca,h01,h02,h03,h04,altitud,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
08015021,Badalona,2022-10-25T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019043,Barcelona (Eixample),2022-10-24T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-24T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-24T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-24T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,2,2,2,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-24T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,,,,,,,1,2,2,2,2,2,2,2
08015021,Badalona,2022-10-23T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019043,Barcelona (Eixample),2022-10-23T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-23T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-23T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-23T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,3,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2
08019043,Barcelona (Eixample),2022-10-22T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-22T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-22T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-22T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,3,2,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-22T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,3,3,3,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,3,3,2,3,2,3,3,2,2,2,3,3,3,3,4,3,3,2,2,2
08015021,Badalona,2022-10-21T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,,,,,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2022-10-21T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-21T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-21T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,2,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,2,2,2,1,2,2,,,1,2,2,2,2,2,2,2,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-21T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3
08019043,Barcelona (Eixample),2022-10-20T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2022-10-20T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,3,2,2,3,3,3,3,2,3,2,2,2,2,2,2,3
08019054,Barcelona (Parc Vall Hebron),2022-10-20T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-20T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,2,2,2,,,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-20T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,,,,,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,,,,,,,,,,,,,,,,,,,,
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-19T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
08015021,Badalona,2022-10-19T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,,,,,,,,,,,,,
08019043,Barcelona (Eixample),2022-10-19T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-19T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,2,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,2,1,2,1,1,1,3,4,2,2,2,2,2,1,1,1,1,1,2
08019057,Barcelona (Palau Reial),2022-10-19T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,3,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2022-10-18T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,2,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1
08019043,Barcelona (Eixample),2022-10-18T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-18T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-18T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-18T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-17T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,3,3,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2022-10-17T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,2,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-17T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2022-10-17T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-17T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-16T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-16T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2022-10-16T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1
08019043,Barcelona (Eixample),2022-10-16T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2022-10-16T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2
08015021,Badalona,2022-10-15T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019043,Barcelona (Eixample),2022-10-15T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-15T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2022-10-15T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,5,4,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2022-10-15T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,2,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1
08019043,Barcelona (Eixample),2022-10-14T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-14T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-14T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,2,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,1
08019057,Barcelona (Palau Reial),2022-10-14T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,3,2,3,3,2,3,3,3,3,3,2,2,2,2
08015021,Badalona,2022-10-14T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08015021,Badalona,2022-10-13T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019043,Barcelona (Eixample),2022-10-13T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-13T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-13T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-13T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-12T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2022-10-12T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2022-10-12T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08015021,Badalona,2022-10-12T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,3,3,3,3,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,3,2,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-12T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-11T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2022-10-11T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08015021,Badalona,2022-10-11T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
08019043,Barcelona (Eixample),2022-10-11T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-11T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-10T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2022-10-10T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-10T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,2,2,2,2,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-10T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2022-10-10T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,3,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,3,2,3,3,3,,,,2,2,2,2,2,2,2,2
08019057,Barcelona (Palau Reial),2022-10-09T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,3,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-09T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2022-10-09T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2022-10-09T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2022-10-09T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2022-10-08T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2022-10-08T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2022-10-08T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
